graph_id,edge_id,num_nodes,num_edges,edge_betweenness,stress,max_deg,min_deg,is_bridge,diff_stress,diff_cross,diff_edglength,benchmark,exp_factor_norm,edge_cross_norm,sum_neighbour_deg_norm,max_neighbour_deg_norm,max_jnc,sum_jnc,diff_graph_entropy_norm,grad_diff
0,0,13,22,0.05769230769230769,0.3810404613028167,6,4,False,0.40173089799234774,4,-0.012411565491644017,random-dag,0.1647106550560848,0.01904761904761905,0.6153846153846154,0.38461538461538464,3.5089623296095596,0.5445864038561914,0.00345046148661865,5.02249069325123
0,1,13,22,0.01282051282051282,0.6529647623831306,4,4,False,-0.014228007119065467,0,0.0005414828664113136,random-dag,0.0014571438963277862,0.0,0.46153846153846156,0.23076923076923078,0.3059137097332953,3.15922749981996,-0.000764108633652727,0.6244249509335101
0,2,13,22,0.04487179487179487,0.5173873535921215,6,4,False,0.3554183742072361,4,-0.015249195551552464,random-dag,0.1811249817589381,0.01904761904761905,0.6153846153846154,0.38461538461538464,0.125463461114717,0.19604644132073004,0.00345046148661865,5.791865425251529
0,3,13,22,0.038461538461538464,0.5731034228107956,5,4,False,0.003943374954499035,4,-0.01703648763941501,random-dag,0.21017729721177852,0.01904761904761905,0.5384615384615384,0.3076923076923077,0.3873793881359027,4.40325212318588,0.0015813525004803042,7.327743618738861
0,4,13,22,0.10256410256410256,0.6170108324390009,6,6,False,-0.23778984990715202,0,0.00675469862539646,random-dag,0.06974273941764625,0.0,0.7692307692307693,0.38461538461538464,0.28248572317938203,1.893441773765213,0.007665031606889916,1.4011797891993307
0,5,13,22,0.06239316239316239,0.6491193725162069,6,5,False,0.03887425342841411,0,0.0006317512367852718,random-dag,0.020395638543377982,0.0,0.6923076923076923,0.38461538461538464,0.13363500914145165,0.16367437981001742,0.005795922620751681,0.6652527073580583
0,6,13,22,0.05769230769230769,0.3913163087915057,6,4,False,0.1720139703783765,0,-0.007942822775275249,random-dag,0.08543578025059302,0.0,0.6153846153846154,0.38461538461538464,0.617560060381425,3.5143624421600497,0.00345046148661865,1.6933862596025437
0,7,13,22,0.12008547008547006,0.3200497650237436,6,2,False,-3.444418767450827,2,0.10163264885843626,random-dag,0.2019680825034982,0.009523809523809525,0.46153846153846156,0.38461538461538464,0.39397788477443835,1.9925403668710178,-0.0045608933578987765,4.065687755200121
0,8,13,22,0.21666666666666665,0.4202783173977838,6,3,False,-2.133360381671995,2,0.1070319337255744,random-dag,0.28618923520590606,0.009523809523809525,0.5384615384615384,0.38461538461538464,1.4954392006900388,2.011322727368602,0.00029623534174172406,9.58090562839453
0,9,13,22,0.06452991452991452,0.5474479576198468,6,5,False,-0.29085738461303023,0,-0.001999054860665872,random-dag,0.04009717524468584,0.0,0.6923076923076923,0.38461538461538464,0.08429342964906995,0.14825891352145326,0.005795922620751681,0.7619905998857781
0,10,13,22,0.04487179487179487,0.6720946178795375,6,4,False,0.05070362155086272,0,-1.633292430425204e-05,random-dag,0.007454172320888164,0.0,0.6153846153846154,0.38461538461538464,0.07161027086278829,0.7643760302620315,0.00345046148661865,0.7652432246245766
0,11,13,22,0.12222222222222219,0.3116339573346291,6,2,False,-2.7098808333346867,-1,0.0826721260649369,random-dag,0.24120567154454514,-0.004761904761904762,0.46153846153846156,0.38461538461538464,1.6319545781619835,0.35566976799920275,-0.0045608933578987765,4.730612038393151
0,12,13,22,0.1611111111111111,0.42917934560324217,6,2,False,-4.97457970855146,2,0.10712251219100588,random-dag,0.33851932456470646,0.009523809523809525,0.46153846153846156,0.38461538461538464,0.7425765573094059,2.9944462918460326,-0.0045608933578987765,10.251556122498688
